Periodo,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > Total actividades primaria Tabasco ",1.746927368,1.914515272,1.749171967,1.772771625,1.517249583,1.492975771,1.473700289,1.464690328,1.454133878,1.540045947,1.486533238,1.417285849,1.416974768,1.388003674,1.522992313,1.530040561
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > Total actividades primaria Tamaulipas ",3.29021835,3.591411311,3.380820422,3.239128167,3.417795065,3.431592887,3.413673077,3.592400231,3.319171931,3.139890834,2.813432906,3.324058868,2.964557227,3.08393457,2.801740617,2.509786786
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > Total actividades primaria Tlaxcala ",0.748436419,0.607585579,0.694794845,0.690938747,0.61650228,0.73688226,0.668995718,0.729262356,0.499603789,0.712213262,0.633366592,0.634256321,0.62335578,0.588617909,0.559785911,0.554643113
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > Total actividades primaria Veracruz de Ignacio de la Llave ",8.776838295,8.281547253,7.921634762,7.856359219,7.617976422,7.5697861,7.963173011,7.625183076,8.090134775,7.804618079,7.976143394,7.448276563,7.688386336,7.229878429,7.242918413,7.31922782
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > Total actividades primaria Yucat�n ",1.615185255,1.82240847,1.780008295,1.800427027,1.797176389,1.607029206,1.722154519,1.748672205,1.852767728,1.785643306,1.701923085,1.71372711,1.690805546,1.678662754,1.595213064,1.647181567
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > Total actividades primaria Zacatecas ",2.575376037,2.136404109,1.821951063,2.403691426,2.050140221,2.135055108,2.12637741,2.19142599,1.861659876,2.217792014,2.394221883,2.291188243,2.171852238,2.499740827,2.379860896,2.400666782
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > 11 Agricultura, cr�a y explotaci�n de animales, aprovechamiento forestal, pesca y caza Total nacional ",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > 11 Agricultura, cr�a y explotaci�n de animales, aprovechamiento forestal, pesca y caza Aguascalientes ",1.181296209,1.137501469,1.271688346,1.232040222,1.241304226,1.349745928,1.305463238,1.335356628,1.470984948,1.451665516,1.423131126,1.468088536,1.480123093,1.475922963,1.498221275,1.516177507
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > 11 Agricultura, cr�a y explotaci�n de animales, aprovechamiento forestal, pesca y caza Baja California ",2.48449432,2.760733309,2.944245767,2.67722405,2.435776455,2.391550869,2.775897582,2.730024277,2.807161335,2.646533021,2.775813439,2.657635963,2.746714165,2.471355489,2.60340287,2.610270374
"Cuentas nacionales > Producto interno bruto por entidad federativa, base 2013 > Por actividad econ�mica y entidad federativa > Participaci�n porcentual en valores constantes > Actividades primarias > 11 Agricultura, cr�a y explotaci�n de animales, aprovechamiento forestal, pesca y caza Baja California Sur ",0.774150497,0.70390932,0.839267339,0.73135286,0.688983662,0.671214838,0.647443753,0.779702798,0.779312005,0.779936879,0.738355047,0.879576819,0.912874246,0.947722659,0.892502503,0.885229327
